,tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
2124,669684865554620416,483,83,8855846,17,Twitter for iPhone,Original tweet,0
2125,669683899023405056,362,102,8855846,17,Twitter for iPhone,Original tweet,https://t.co/NvKJRYDosA
2126,669682095984410625,332,127,8855846,17,Twitter for iPhone,Original tweet,https://t.co/RAwZvMKRZB
2127,669680153564442624,631,268,8855846,17,Twitter for iPhone,Original tweet,https://t.co/IQFZKNUlXx
2128,669661792646373376,768,401,8855846,17,Twitter for iPhone,Original tweet,https://t.co/ODnILTr4QM
2129,669625907762618368,3335,1694,8855846,17,Twitter for iPhone,Original tweet,https://t.co/eqeWw67oU7
2130,669603084620980224,901,337,8855846,17,Twitter for iPhone,Original tweet,https://t.co/MSIbWu4YYs
2131,669597912108789760,485,141,8855846,17,Twitter for iPhone,Original tweet,https://t.co/XmCvma01fF
2132,669583744538451968,1404,866,8855846,17,Twitter for iPhone,Original tweet,https://t.co/f8GXeDbFzu
2133,669573570759163904,411,130,8855847,17,Twitter for iPhone,Original tweet,https://t.co/UpFFYhA1Id
2134,669571471778410496,1503,949,8855847,17,Twitter for iPhone,Original tweet,https://t.co/fa7olwrF9Y
2135,669567591774625800,220,48,8855847,17,Twitter for iPhone,Original tweet,https://t.co/XPLB3eoXiX
2136,669564461267722241,369,112,8855847,17,Twitter for iPhone,Original tweet,https://t.co/eCRdwouKCl
2137,669393256313184256,339,69,8855847,17,Twitter for iPhone,Original tweet,https://t.co/juktj5qiaD
2138,669375718304980992,1253,678,8855847,17,Twitter for iPhone,Original tweet,https://t.co/ero0XfdGtY
2139,669371483794317312,466,167,8855847,17,Twitter for iPhone,Original tweet,https://t.co/fj4c170cxk
2140,669367896104181761,435,141,8855847,17,Twitter for iPhone,Original tweet,https://t.co/yoB0SM1AAP
2141,669363888236994561,592,214,8855847,17,Twitter for iPhone,Original tweet,https://t.co/jPkd7hhX7m
2142,669359674819481600,350,113,8855847,17,Twitter for iPhone,Original tweet,https://t.co/Eh2v0AyJbi
2143,669354382627049472,2550,1196,8855847,17,Twitter for iPhone,Original tweet,https://t.co/JtA1TG21Xx
2144,669353438988365824,595,242,8855847,17,Twitter for iPhone,Original tweet,https://t.co/qDS1aCqppv
2145,669351434509529089,409,169,8855847,17,Twitter for iPhone,Original tweet,https://t.co/zKNF77dxEA
2146,669328503091937280,961,389,8855847,17,Twitter for iPhone,Original tweet,https://t.co/0twoigv5jP
2147,669327207240699904,545,113,8855847,17,Twitter for iPhone,Original tweet,https://t.co/6WGFp9cuj6
2148,669324657376567296,468,195,8855847,17,Twitter for iPhone,Original tweet,https://t.co/R5Z6jBTdhc
2149,669216679721873412,1129,377,8856492,17,Twitter for iPhone,Original tweet,https://t.co/d8ybynaRwZ
2150,669214165781868544,413,149,8855847,17,Twitter for iPhone,Original tweet,https://t.co/cieaOI0RuT
2151,669203728096960512,952,435,8855847,17,Twitter for iPhone,Original tweet,https://t.co/HPoce45SI3
2152,669037058363662336,621,290,8855847,17,Twitter for iPhone,Original tweet,https://t.co/Lh1BsJrWPp
2153,669015743032369152,705,348,8855847,17,Twitter for iPhone,Original tweet,https://t.co/Jykq2iq3qN
2154,669006782128353280,549,229,8855847,17,Twitter for iPhone,Original tweet,https://t.co/k0ddVUWTcu
2155,669000397445533696,19804,5960,8855847,17,Twitter for iPhone,Original tweet,https://t.co/ixcuUYCbdD
2156,668994913074286592,418,209,8855847,17,Twitter for iPhone,Original tweet,https://t.co/w5oYFXi0uh
2157,668992363537309700,708,316,8855847,17,Twitter for iPhone,Original tweet,https://t.co/tiVuq6MNwl
2158,668989615043424256,632,309,8855847,17,Twitter for iPhone,Original tweet,https://t.co/1zBp1moFlX
2159,668988183816871936,852,433,8855847,17,Twitter for iPhone,Original tweet,https://t.co/bMhs18elNF
2160,668986018524233728,519,153,8855847,17,Twitter for iPhone,Original tweet,https://t.co/j0Wpa42KCH
2161,668981893510119424,510,280,8855847,17,Twitter for iPhone,Original tweet,https://t.co/0EJXxE9UxW
2162,668979806671884288,754,328,8855847,17,Twitter for iPhone,Original tweet,https://t.co/uxdOfblUB0
2163,668975677807423489,1234,545,8855847,17,Twitter for iPhone,Original tweet,https://t.co/LqAMlFVBoY
2164,668967877119254528,136,21,8855847,17,Twitter for iPhone,Original tweet,5
